Year,TechID,Value
2012,25,405.57
2012,40,
2012,80,
2012,140,
2012,161,519.75
2012,191,286.92
2012,200,
2012,260,
2012,265,
2012,276,31.09
2012,320,
2012,363,
2012,400,
2012,461,
2012,471,
2012,515,162.69
2012,611,14.51
2012,620,
2012,631,32.51
2012,641,0.17
2012,670,
2012,690,26.95
2012,730,44.51
2012,811,0.01
2012,857,0.38
2012,865,13.02
2012,890,
2012,981,4.14
2012,991,2.93
2012,1131,0.76
2012,1142,3.43
2012,1151,3.02
2012,1153,264.07
2012,1167,0.05
2012,1180,0.01
2012,1220,
2012,1221,7.45
2012,1301,5.65
2012,1365,34.5
2012,1461,3.16
2012,1471,
2012,1510,29
2012,1530,
2012,1592,1.65
2012,1613,0
2012,1640,
2012,1680,4.9
2012,1685,0.01
2012,2030,31.51
2012,2110,123.43
2012,2120,49.61
2012,2130,20.71
2012,2140,4.07
2012,2240,2.59
2012,2250,15.61
2012,3020,13.7
2012,3040,6.49
2012,4010,1.58
2012,4060,0.74
2012,4070,14.4
2012,4140,2.25
2012,4150,14.66
2012,4220,4.66
2012,4230,0.75
2012,5004,
2012,5016,
2012,5025,2.8
2012,5033,2.12
2012,5052,10.91
2012,5061,1.19
2012,5080,12.98
2012,5204,
2012,5216,
2012,5225,2.21
2012,5233,1.67
2012,5252,8.59
2012,5261,0.93
2012,5280,10.22
2012,5404,
2012,5416,
2012,5425,0.58
2012,5433,0.44
2012,5452,2.27
2012,5461,0.25
2012,5480,2.7
2012,5604,
2012,5616,
2012,5625,0.31
2012,5633,0.24
2012,5652,1.22
2012,5661,0.13
2012,5680,1.45
2012,5804,
2012,5816,
2012,5825,1.33
2012,5833,1.01
2012,5852,5.19
2012,5861,0.56
2012,5880,6.18
2013,25,252.79
2013,40,
2013,80,
2013,91,0
2013,140,
2013,161,
2013,191,
2013,200,
2013,260,
2013,265,
2013,276,
2013,320,
2013,363,
2013,400,
2013,461,
2013,471,
2013,515,
2013,611,270.19
2013,620,
2013,631,415.5
2013,641,778.39
2013,670,203.64
2013,690,
2013,730,28.38
2013,811,7.59
2013,857,48.59
2013,865,477.39
2013,890,
2013,981,3.99
2013,991,2.84
2013,1110,0
2013,1131,1.17
2013,1142,3.33
2013,1151,1.48
2013,1153,332.04
2013,1167,0.08
2013,1180,0.02
2013,1220,
2013,1365,722.56
2013,1471,
2013,1530,
2013,1640,
2013,2030,31.51
2013,2110,149.17
2013,2120,23.88
2013,2130,16.82
2013,2140,7.96
2013,2240,0.62
2013,2250,17.58
2013,2320,3.25
2013,3020,14.23
2013,3040,6.74
2013,4060,1.12
2013,4140,3.21
2013,4230,1.07
2013,5004,
2013,5016,
2013,5080,171.17
2013,5204,
2013,5216,
2013,5280,141.79
2013,5416,
2013,5480,69.03
2013,5616,
2013,5680,54.38
2013,5804,
2013,5816,
2013,5880,44.14
2014,25,752.14
2014,40,
2014,80,
2014,91,8.93
2014,140,
2014,161,
2014,191,
2014,200,
2014,260,
2014,265,
2014,276,
2014,320,
2014,363,
2014,400,
2014,461,
2014,471,
2014,515,
2014,611,357.86
2014,620,
2014,631,619.26
2014,641,895.68
2014,670,140.25
2014,690,
2014,730,19.83
2014,811,5.31
2014,857,35.85
2014,865,332.62
2014,890,
2014,981,2.98
2014,991,1.95
2014,1131,0.82
2014,1142,2.34
2014,1151,0.86
2014,1153,225.14
2014,1167,0.06
2014,1180,0.01
2014,1220,
2014,1365,821.66
2014,1471,
2014,1530,
2014,1640,
2014,2030,31.51
2014,2110,147.26
2014,2120,25.78
2014,2130,17.27
2014,2140,7.51
2014,2240,0.73
2014,2250,17.48
2014,2320,3.25
2014,3020,14.83
2014,3040,7.02
2014,4010,1.67
2014,4060,1.32
2014,4070,14.86
2014,4140,3.79
2014,4150,29.56
2014,4220,9.11
2014,4230,1.26
2014,5004,
2014,5016,
2014,5080,201.11
2014,5204,
2014,5216,
2014,5280,163.2
2014,5416,
2014,5480,79.75
2014,5616,
2014,5680,61.35
2014,5804,
2014,5816,
2014,5880,50.62
2015,25,562.69
2015,40,
2015,50,0
2015,81,
2015,92,
2015,162,
2015,171,
2015,192,
2015,245,
2015,251,
2015,266,
2015,321,
2015,364,
2015,366,
2015,401,
2015,462,
2015,472,
2015,612,
2015,621,
2015,632,
2015,642,
2015,670,32
2015,690,449.32
2015,695,641.68
2015,730,1.74
2015,731,9.67
2015,750,4.42
2015,811,0.5
2015,812,0.27
2015,857,3.47
2015,858,1.23
2015,865,32.61
2015,866,40.79
2015,890,348.87
2015,981,0.29
2015,982,1.14
2015,991,0.17
2015,1121,496.58
2015,1131,0.16
2015,1142,0.22
2015,1143,1.73
2015,1151,0.07
2015,1153,21.18
2015,1155,0.39
2015,1167,0.01
2015,1171,32.82
2015,1180,0
2015,1181,0.05
2015,1220,
2015,1221,
2015,1222,
2015,1280,
2015,1365,280.72
2015,1464,
2015,1471,
2015,1472,
2015,1530,
2015,1603,180.81
2015,1615,
2015,1640,
2015,1690,
2015,1702,
2015,2030,13.57
2015,2050,17.93
2015,2110,61.01
2015,2120,11.84
2015,2130,7.32
2015,2140,2.88
2015,2150,18.04
2015,2160,82.16
2015,2170,10.7
2015,2180,3.88
2015,2240,0.36
2015,2250,7.21
2015,2270,9.99
2015,2300,0.64
2015,2320,1.27
2015,2330,1.98
2015,3020,15.48
2015,3040,7.33
2015,4010,1.61
2015,4060,0.45
2015,4070,4.87
2015,4090,0.71
2015,4100,9.42
2015,4140,1.31
2015,4150,10.93
2015,4170,2
2015,4190,17.72
2015,4220,3.58
2015,4230,0.45
2015,4250,5.25
2015,4270,0.65
2015,5004,
2015,5005,
2015,5016,
2015,5017,
2015,5025,662.12
2015,5026,
2015,5080,77.84
2015,5081,349.5
2015,5204,
2015,5205,
2015,5216,
2015,5217,
2015,5225,544.21
2015,5226,
2015,5280,60.53
2015,5281,301.99
