EmissionID,Year,TechID,ETypeID,Value
4,2012,10,ED,2187.1832522
4,2012,30,ED,73729.07405
4,2012,40,ED,29126.659781000002
4,2012,70,ED,11516.141995500002
4,2012,80,ED,2224.9750971
4,2012,90,ED,212.27219737499996
4,2012,100,ED,1550.7990332000002
4,2012,110,ED,2877.6775655999995
4,2012,120,ED,1912.4647529000001
4,2012,130,ED,18947.143168000002
4,2012,140,ED,4478.0269065
4,2012,150,ED,482.01853525000007
4,2012,160,ED,2122.2358957
4,2012,161,ED,0.6612520990000001
4,2012,170,ED,6053.313551900001
4,2012,181,ED,3777.0698565000007
4,2012,190,ED,2896.4525139999996
4,2012,191,ED,0.9950199260000001
4,2012,200,ED,1869.2955065
4,2012,210,ED,82.84810162299999
4,2012,220,ED,313.61673146000004
4,2012,230,ED,1395.099265
4,2012,240,ED,1240.3476893
4,2012,250,ED,5.799777639
4,2012,260,ED,414.91325586
4,2012,261,ED,
4,2012,265,ED,406.49846851
4,2012,270,ED,1.808256222
4,2012,280,ED,82.71492722800001
4,2012,290,ED,188.83567442799998
4,2012,291,ED,
4,2012,295,ED,231.89141866600002
4,2012,300,ED,312.47891086000004
4,2012,302,ED,2.016453859
4,2012,305,ED,295.02825317
4,2012,310,ED,1.9804652739999997
4,2012,320,ED,109.87157551
4,2012,330,ED,0.6363621620000001
4,2012,340,ED,57.576624783000014
4,2012,350,ED,180.550884904
4,2012,351,ED,
4,2012,360,ED,329.04358286900003
4,2012,361,ED,
4,2012,362,ED,0.004017715000000001
4,2012,363,ED,591.10758282
4,2012,386,ED,0.01386956
4,2012,400,ED,16.930500291999998
4,2012,410,ED,0.527819479
4,2012,411,ED,0.21590127600000003
4,2012,430,ED,0.23660317900000002
4,2012,431,ED,3.879462731
4,2012,442,ED,1.686946025
4,2012,460,ED,0.046081475000000004
4,2012,461,ED,3.950745791
4,2012,470,ED,3.67828e-4
4,2012,471,ED,2.6010550779999995
4,2012,611,ED,8.73158e-4
4,2012,620,ED,21.827042470000002
4,2012,630,ED,1346.638184
4,2012,631,ED,0.004684833
4,2012,640,ED,
4,2012,660,ED,6.30996e-5
4,2012,670,ED,
4,2012,690,ED,4.334957795999999
4,2012,691,ED,
4,2012,700,ED,321.4077881
4,2012,720,ED,29.87900644
4,2012,810,ED,20.078137469999998
4,2012,811,ED,
4,2012,850,ED,8.08222761
4,2012,852,ED,0.16370109500000002
4,2012,853,ED,0.198018729
4,2012,857,ED,0.07081054
4,2012,865,ED,1.102363262
4,2012,870,ED,7063.395803
4,2012,890,ED,6736.810354
4,2012,970,ED,2411.794782
4,2012,980,ED,18958.72125
4,2012,1040,ED,6745.485294
4,2012,1041,ED,
4,2012,1130,ED,6010.0108660000005
4,2012,1131,ED,
4,2012,1132,ED,1008.617084
4,2012,1142,ED,2.922390618
4,2012,1152,ED,1785.869261
4,2012,1153,ED,1313.5264419999999
4,2012,1158,ED,724.3023017999999
4,2012,1159,ED,4862.842913
4,2012,1163,ED,1326.021259
4,2012,1164,ED,
4,2012,1166,ED,1345.952349
